variant,n,trades_per_year_est,win_rate,expectancy_r,pf,max_dd_r,folds_positive_pct,n_folds,bootstrap_p
H0_XAU_V0_control_untuned,421,610.1994047619047,0.3824228028503563,-0.3965149007130687,0.5199711282356045,-165.6358027649731,0.0,8,0.0
H1_XAU_high_liquidity_sessions,228,330.4642857142857,0.38596491228070173,-0.3737658684538729,0.5351375629421302,-86.32251227046966,0.14285714285714285,7,0.0
H2_XAU_weekday_only,294,426.125,0.41156462585034015,-0.15193252174028543,0.7680699013151399,-46.02655051396692,0.125,8,0.0392
H3_XAU_daily_aligned,391,566.7172619047619,0.38107416879795397,-0.417905741138547,0.5049012667848073,-162.1041743499431,0.0,8,0.0
H4_XAU_daily_aligned_weekday,267,386.99107142857144,0.40823970037453183,-0.1610813795036002,0.756665293970556,-45.63531636080226,0.0,8,0.04
M0_XAU_mean_reversion_default,2363,3411.4061264822135,0.2501057977147694,-2.0768719340356374,0.10842791888917636,-4912.518197095315,0.0,8,0.0
M1_XAU_mean_reversion_weekday,1523,2198.7183794466405,0.33946158896913986,-0.5510627961264485,0.3987568362122452,-844.1384554696822,0.0,8,0.0
