exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
SL,254.0,0.37078918039442227,-1.0295478267099134,-1.0,-0.2894890937095691,-0.8509915615609709,-0.5873361402559072,-1.0,-1.0,LONG
TP,474.0,2.067955254234582,-0.5992288000182192,2.0,-0.3688119216556901,0.15723415913416955,-0.2854850631283944,2.0,2.0,LONG
TP,381.0,2.299039331764259,-0.7551195695598402,2.0,0.10238909417760388,-0.6217443021442743,0.2775283342182381,2.0,2.0,LONG
TP,336.0,2.1848415555260416,-0.8669365137145909,2.0,-0.7329921299962504,-0.17029110090823524,0.33519750297349704,2.0,2.0,LONG
TP,230.0,2.006993264172984,-0.2073824141833225,2.0,-0.0027559124808392054,0.5663400148129893,2.0,2.0,2.0,LONG
SL,57.0,0.7613222745404377,-1.2164687277563446,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,104.0,0.09297293899021723,-1.0621719728033834,-1.0,-0.24880494050527274,-1.0,-1.0,-1.0,-1.0,LONG
TIMEOUT,720.0,1.433196982166144,-0.20539886214437375,0.33589836292511754,0.43055645151960853,0.32670825723631924,0.13693257476290888,0.2839742657834729,0.33589836292511754,LONG
SL,712.0,1.1324746385939386,-1.0779247057635564,-1.0,0.15778906190600042,0.058156539959638515,0.13254281200104281,0.12127216472204279,-1.0,LONG
SL,592.0,1.3565850956244496,-1.07980198270766,-1.0,0.9481188140847703,0.2544218201317578,0.21069306979660557,0.225103680702527,-1.0,LONG
SL,48.0,0.5661471728362609,-1.1844061944680053,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,487.0,0.8091912155175491,-1.0834061359839013,-1.0,0.060145263940668506,0.47364395353276223,-0.040360637644395736,-0.5393289128364,-1.0,LONG
SL,324.0,0.5698136664557211,-1.0502284145672205,-1.0,0.10527349262964956,0.1533149674408033,0.30955419856575145,-1.0,-1.0,LONG
SL,152.0,0.230060168365674,-1.0436180734888585,-1.0,0.012622770299725639,-0.7708033605596639,-1.0,-1.0,-1.0,LONG
SL,174.0,0.211662356527887,-1.195593875051197,-1.0,-0.63590534444927,-0.7809927732189381,-1.0,-1.0,-1.0,LONG
SL,135.0,0.40161791881580544,-1.674322652852033,-1.0,-0.17012634821886763,-0.3407516006847223,-1.0,-1.0,-1.0,LONG
SL,165.0,0.6181711629469663,-1.0491585766215321,-1.0,-0.2628178150054667,-0.16267662182814396,-1.0,-1.0,-1.0,LONG
