variant,n,trades_per_year,win_rate,avg_win_r,avg_loss_r,expectancy_r,pf,max_dd_r,bootstrap_p,significant,ci_lo,ci_hi
V0_baseline,1412,501.6857976653697,0.4263456090651558,1.4564844767667076,-1.039523200941552,0.024638712642281107,1.041317449369511,-79.43569857447567,0.4656,False,-0.040982038919122506,0.09414205712664891
A_touch_then_close_above,3406,1210.1571011673152,0.403112155020552,1.4737847958268302,-1.0166081526986799,-0.012700484370575001,0.9790697719095461,-182.7738977077002,0.5904,False,-0.055968178027601415,0.030204077797760735
C_tolerance_band_0.3atr,2282,810.7981517509728,0.41498685363716037,1.4191224977903576,-1.025020909186645,-0.01073352688724902,0.9821003681661821,-146.13467671718757,0.6812,False,-0.064557062955221,0.04206979561366843
D_pullback_within_3bars,3167,1125.2400291828794,0.4104831070413641,1.4851190727220813,-1.024625971898689,0.005581971898911801,1.009241150245355,-179.09468807959342,0.8044,False,-0.03959539791768161,0.050308270667948955
E_multibar_momentum_confirm,2120,753.239299610895,0.3929245283018868,1.4724588626603003,-1.0143411346805362,-0.03721641874425454,0.9395623101334359,-128.49067551423477,0.198,False,-0.09225787306128712,0.020392141854297073
