variant,n,trades_per_year,win_rate,expectancy_r,pf,max_dd_r,folds_positive_pct,bootstrap_p,gate_pass
H0_BTC_V0_control,1436,510.2130350194553,0.3955431754874652,-0.03951335853607697,0.9350671197919531,-82.23779125211081,0.45454545454545453,0.2548,False
H1_BTC_V0_high_liquidity_sessions,744,264.3443579766537,0.3978494623655914,-0.022929563897243734,0.9632245901690164,-49.88738653056717,0.5,0.6296,False
