variant,n,trades_per_year,win_rate,avg_win_r,avg_loss_r,expectancy_r,pf,max_dd_r,bootstrap_p,significant,ci_lo,ci_hi
A_M15_only (=V0 baseline),1412,501.6857976653697,0.4263456090651558,1.4564844767667076,-1.039523200941552,0.024638712642281107,1.041317449369511,-79.43569857447567,0.4656,False,-0.040982038919122506,0.09414205712664891
B_M15_plus_M5_confirmation,1024,363.8287937743191,0.4228515625,1.4397872570933543,-1.0341340004690085,0.011967468793201534,1.0200510888877115,-61.6830170665944,0.776,False,-0.0680296407589842,0.0934699154546823
C_M15_plus_M30_confirmation,852,302.71692607003894,0.4307511737089202,1.4147438678786541,-1.0465470294294819,0.013656913425079074,1.0229240666864319,-56.40314032369372,0.7564,False,-0.07614258574842826,0.10448343696204929
