hold_h,n_dev,n_holdout,dev_pf,dev_fold_pct_pos,dev_n_folds,cost_stress_2x_pf,dev_gate_pass,cost_stress_pass,holdout_pf,holdout_mean_r,holdout_ci_lo,holdout_ci_hi,holdout_p,holdout_significant,resolution_rate_dev,ev_r_cal_fold,ev_gate_pass,symbol
12,696,784,0.859207534704692,0.4,5,0.6718759894323851,False,False,1.2776423983844032,0.15274754273952362,0.05696923349958306,0.24758791393686505,0.0014,True,0.7873563218390804,0.07424904577481352,False,ETH
18,696,784,0.9104945052395635,0.4,5,0.7256625280333855,False,False,1.2840137187712515,0.16663682874178234,0.06841352382019733,0.2647436379702708,0.001,True,0.8879310344827587,0.12402782094019672,False,ETH
24,696,784,0.9243328452601441,0.4,5,0.7412592399250064,False,False,1.2761330605950485,0.16773581679645982,0.0686159857236301,0.2687927140684052,0.0016,True,0.9310344827586207,0.17121264279514314,True,ETH
36,696,784,0.972517800916757,0.4,5,0.785178197455861,False,False,1.2476516779850333,0.15664599376783028,0.05400878978569622,0.2596509850991747,0.004,True,0.9683908045977011,0.19338890644675089,True,ETH
48,696,784,0.9751933057497986,0.4,5,0.7876274081547027,False,False,1.2747004868081586,0.17357904748752945,0.06998140786269913,0.2773682017219391,0.0016,True,0.9741379310344828,0.19898485253084264,True,ETH
12,679,683,1.1227730577100734,0.4,5,0.9129195969618787,False,False,1.1847961258416988,0.10415625970248375,0.0056582671762860515,0.20351642613022428,0.0394,True,0.7997054491899853,0.17688229528766608,True,XRP
18,679,683,1.1732627753683844,0.4,5,0.9684901962437897,False,False,1.1873535986783295,0.11264185106079748,0.010243327874124847,0.21740631178566278,0.0326,True,0.8939617083946981,0.19330354148277257,True,XRP
24,679,683,1.1770579621294335,0.8,5,0.976350634347843,True,False,1.1816949054064492,0.11268438375241831,0.007909781769220794,0.21910125048736664,0.0342,True,0.9278350515463918,0.1981001210669711,True,XRP
36,679,683,1.2067922650066416,0.8,5,1.0062074839112845,True,False,1.1792586802624458,0.11500955218821528,0.008379512557132233,0.22329900243163742,0.036,True,0.9734904270986745,0.2434249506315685,True,XRP
48,679,683,1.2096817170784206,0.8,5,1.0102561587742613,True,False,1.1760779525368537,0.11392786549071003,0.006817592565968843,0.2224987636627589,0.0382,True,0.9896907216494846,0.22381362015405698,True,XRP
