variant,n,trades_per_yr,win,exp_r,pf,max_dd_r,folds_pos_pct,n_folds,bootstrap_p,gate_pass
R0_MR_default,42053,2214.831759192502,0.3252800038047226,-0.9859464349249285,0.17424020937396853,-41460.33666340854,0.0,76,0.0,False
R1_MR_high_liq_sessions,28309,1490.9678803172314,0.3382316577766788,-0.8707824756003205,0.2087364256778812,-24649.312337280036,0.0,76,0.0,False
R2_MR_sessions_trendguard,14167,746.1422855082913,0.3492623702971695,-0.8201707661737201,0.22439361823350684,-11617.69047989362,0.0,76,0.0,False
