variant,n,trades_per_year,win_rate,avg_win_r,avg_loss_r,expectancy_r,pf,max_dd_r,bootstrap_p,significant,ci_lo,ci_hi,trend_bars
V0_baseline_ADX35,1412,501.6857976653697,0.4263456090651558,1.4564844767667076,-1.039523200941552,0.024638712642281107,1.041317449369511,-79.43569857447567,0.4656,False,-0.040982038919122506,0.09414205712664891,22488
A_ADX30,2087,737.2115570599613,0.3967417345471969,1.403858972236146,-1.0384391054642295,-0.06947752983609778,0.8890927201014206,-185.64868202653497,0.0144,False,-0.12337595811546273,-0.014586592291270638,32820
B_ADX25,2980,1051.6376811594203,0.3875838926174497,1.3945274171994135,-1.0387966091708103,-0.09567941103067329,0.8496022409564595,-292.8516058824416,0.0,False,-0.1422188365487156,-0.048460642215888305,46624
C_continuous_adx_pctl70,1732,611.8114119922631,0.418013856812933,1.4290571480804035,-1.0371979597854892,-0.006269150261871278,0.9896143332973115,-87.37716478399489,0.826,False,-0.0680324817455783,0.054840689451718994,27688
