symbol,role,hold_n,hold_avg_r,hold_pf,wfo_folds,wfo_pos,wfo_pos_pct,hold_boot_p,GATE
ETHUSDT,ref,786,0.15170708860626084,1.2761266915106948,12,8,0.6666666666666666,0.0012,True
BTCUSDT,ref,759,-0.08180868311508982,0.8748373348178304,12,4,0.3333333333333333,0.096,False
XRPUSDT,candidate,683,0.10415625970248375,1.1847961258416988,12,7,0.5833333333333334,0.0472,False
DOGEUSDT,candidate,706,-0.08806019149274932,0.8608816184263909,12,4,0.3333333333333333,0.066,False
ADAUSDT,candidate,665,-0.10151971644748445,0.8346291646319907,12,6,0.5,0.0428,False
LINKUSDT,candidate,684,0.09432372423770738,1.1722920205696679,12,7,0.5833333333333334,0.0628,False
LTCUSDT,candidate,655,-0.16569722564193332,0.7536958297425127,12,1,0.08333333333333333,0.0004,False
AVAXUSDT,candidate,759,-0.07077468402861817,0.8870700293586846,12,8,0.6666666666666666,0.136,False
